available_bikes,last_update,name,latitude,longitude,available_bike_stands,bike_stands,status
2,17:32:20,HARDWICKE STREET,53.355473,-6.264423,14,16,OPEN
16,17:36:43,PARKGATE STREET,53.347972,-6.291804,22,38,OPEN
7,17:34:57,SMITHFIELD,53.347692,-6.278214,23,30,OPEN
3,17:37:38,DAME STREET,53.344007,-6.266802,13,16,OPEN
25,17:32:06,HEUSTON BRIDGE (SOUTH),53.347106,-6.292041,0,25,OPEN
7,17:37:04,CATHAL BRUGHA STREET,53.352149,-6.260533,13,20,OPEN
11,17:37:28,SANDWITH STREET,53.345203,-6.247163,29,40,OPEN
14,17:37:21,ROTHE ABBEY,53.338776,-6.30395,21,35,OPEN
23,17:35:18,PRINCES STREET / O'CONNELL STREET,53.349013,-6.260311,0,23,OPEN
1,17:36:09,UPPER SHERRARD STREET,53.358437,-6.260641,29,30,OPEN
19,17:37:34,FITZWILLIAM SQUARE EAST,53.335211,-6.2509,21,40,OPEN
12,17:36:02,GRATTAN STREET,53.339629,-6.243778,11,23,OPEN
13,17:37:18,ST JAMES HOSPITAL (LUAS),53.341359,-6.292951,27,40,OPEN
2,17:37:13,HARCOURT TERRACE,53.332763,-6.257942,18,20,OPEN
4,17:31:37,BOLTON STREET,53.351182,-6.269859,16,20,OPEN
13,17:37:23,STRAND STREET GREAT,53.347082,-6.264192,22,35,OPEN
13,17:35:44,JERVIS STREET,53.3483,-6.266651,8,21,OPEN
7,17:33:08,ORMOND QUAY UPPER,53.346057,-6.268001,22,29,OPEN
15,17:37:14,BARROW STREET,53.341655,-6.236198,25,40,OPEN
5,17:29:22,GRANGEGORMAN LOWER (SOUTH),53.354663,-6.278681,35,40,OPEN
1,17:37:28,MOUNTJOY SQUARE WEST,53.356299,-6.258586,29,30,OPEN
2,17:37:11,WILTON TERRACE,53.332383,-6.252717,18,20,OPEN
4,17:36:34,EMMET ROAD,53.340714,-6.308191,36,40,OPEN
14,17:37:37,HEUSTON BRIDGE (NORTH),53.347802,-6.292432,26,40,OPEN
15,17:37:33,LEINSTER STREET SOUTH,53.34218,-6.254485,15,30,OPEN
0,17:29:01,BLACKHALL PLACE,53.3488,-6.281637,30,30,OPEN
