available_bikes,last_update,name,latitude,longitude,available_bike_stands,bike_stands,status
5,15:26:30,SMITHFIELD NORTH,53.349562,-6.278198,25,30,OPEN
5,15:20:57,PARNELL SQUARE NORTH,53.353462,-6.265305,15,20,OPEN
6,15:21:21,CLONMEL STREET,53.336021,-6.26298,27,33,OPEN
31,15:27:23,MOUNT STREET LOWER,53.33796,-6.24153,9,40,OPEN
1,15:25:30,CHRISTCHURCH PLACE,53.343368,-6.27012,19,20,OPEN
7,15:25:47,GRANTHAM STREET,53.334123,-6.265436,23,30,OPEN
6,15:21:56,PEARSE STREET,53.344304,-6.250427,23,30,OPEN
20,15:28:36,YORK STREET EAST,53.338755,-6.262003,12,32,OPEN
32,15:25:06,EXCISE WALK,53.347777,-6.244239,8,40,OPEN
29,15:20:33,FITZWILLIAM SQUARE WEST,53.336074,-6.252825,0,30,OPEN
21,15:28:24,PORTOBELLO ROAD,53.330091,-6.268044,9,30,OPEN
0,15:27:20,ST. JAMES HOSPITAL (CENTRAL),53.339983,-6.295594,40,40,OPEN
9,15:27:50,PARNELL STREET,53.350929,-6.265125,11,20,OPEN
8,15:28:38,FREDERICK STREET SOUTH,53.341515,-6.256853,21,30,OPEN
18,15:20:32,FOWNES STREET UPPER,53.344603,-6.263371,12,30,OPEN
12,15:25:21,CLARENDON ROW,53.340927,-6.262501,19,31,OPEN
9,15:25:19,CUSTOM HOUSE,53.348279,-6.254662,21,30,OPEN
22,15:28:26,HANOVER QUAY,53.344115,-6.237153,18,40,OPEN
15,15:22:35,OLIVER BOND STREET,53.343893,-6.280531,15,30,OPEN
0,15:21:19,COLLINS BARRACKS MUSEUM,53.347477,-6.28525,38,38,OPEN
1,15:23:43,BROOKFIELD ROAD,53.339005,-6.300217,29,30,OPEN
0,15:28:09,BENSON STREET,53.344153,-6.233451,0,40,CLOSED
13,15:26:36,EARLSFORT TERRACE,53.334019,-6.258371,17,30,OPEN
8,15:23:05,GOLDEN LANE,53.340803,-6.267732,12,20,OPEN
0,15:19:39,DEVERELL PLACE,53.351464,-6.255265,30,30,OPEN
17,15:22:17,JOHN STREET WEST,53.343105,-6.277167,14,31,OPEN
28,15:27:03,FENIAN STREET,53.341428,-6.24672,7,35,OPEN
13,15:23:40,SOUTH DOCK ROAD,53.341833,-6.231291,17,30,OPEN
24,15:23:52,CITY QUAY,53.346637,-6.246154,6,30,OPEN
19,15:28:17,EXCHEQUER STREET,53.343034,-6.263578,5,24,OPEN
18,15:24:48,THE POINT,53.346867,-6.230852,22,40,OPEN
11,15:19:23,HATCH STREET,53.33403,-6.260714,25,36,OPEN
22,15:23:05,LIME STREET,53.346026,-6.243576,18,40,OPEN
17,15:25:38,CHARLEMONT PLACE,53.330662,-6.260177,23,40,OPEN
3,15:21:46,KILMAINHAM GAOL,53.342113,-6.310015,37,40,OPEN
10,15:23:26,HARDWICKE PLACE,53.357043,-6.263232,15,25,OPEN
5,15:19:53,WOLFE TONE STREET,53.348875,-6.267459,24,29,OPEN
12,15:26:43,FRANCIS STREET,53.342081,-6.275233,18,30,OPEN
1,15:25:00,GREEK STREET,53.346874,-6.272976,19,20,OPEN
36,15:28:18,GUILD STREET,53.347932,-6.240928,4,40,OPEN
26,15:25:26,HERBERT PLACE,53.334432,-6.245575,4,30,OPEN
12,15:28:36,HIGH STREET,53.343565,-6.275071,17,29,OPEN
7,15:28:07,NORTH CIRCULAR ROAD,53.359624,-6.260348,23,30,OPEN
13,15:25:00,WESTERN WAY,53.354929,-6.269425,26,40,OPEN
22,15:28:26,TALBOT STREET,53.350974,-6.25294,18,40,OPEN
24,15:20:30,NEWMAN HOUSE,53.337132,-6.26059,16,40,OPEN
38,15:28:29,SIR PATRICK DUN'S,53.339218,-6.240642,2,40,OPEN
23,15:22:16,NEW CENTRAL BANK,53.347122,-6.234749,17,40,OPEN
7,15:20:23,GRANGEGORMAN LOWER (CENTRAL),53.355173,-6.278424,31,40,OPEN
5,15:28:08,KING STREET NORTH,53.350291,-6.273507,25,30,OPEN
40,15:23:58,HERBERT STREET,53.335742,-6.24551,0,40,OPEN
24,15:21:32,CUSTOM HOUSE QUAY,53.347884,-6.248048,6,30,OPEN
10,15:21:14,MOLESWORTH STREET,53.341288,-6.258117,10,20,OPEN
0,15:23:27,GEORGES QUAY,53.347508,-6.252192,20,20,OPEN
1,15:23:12,KILMAINHAM LANE,53.341805,-6.305085,29,30,OPEN
3,15:25:42,MOUNT BROWN,53.341645,-6.29719,19,22,OPEN
1,15:28:11,MARKET STREET SOUTH,53.342296,-6.287661,37,38,OPEN
13,15:21:32,KEVIN STREET,53.337757,-6.267699,27,40,OPEN
0,15:25:49,ECCLES STREET EAST,53.358115,-6.265601,26,27,OPEN
39,15:24:58,GRAND CANAL DOCK,53.342638,-6.238695,1,40,OPEN
19,15:26:04,MERRION SQUARE EAST,53.339434,-6.246548,11,30,OPEN
13,15:21:28,YORK STREET WEST,53.339334,-6.264699,27,40,OPEN
25,15:26:13,ST. STEPHEN'S GREEN SOUTH,53.337494,-6.26199,5,30,OPEN
1,15:20:38,DENMARK STREET GREAT,53.35561,-6.261397,19,20,OPEN
2,15:21:31,ROYAL HOSPITAL,53.343897,-6.29706,38,40,OPEN
2,15:26:27,HEUSTON STATION (CAR PARK),53.346985,-6.297804,38,40,OPEN
3,15:22:47,GRANGEGORMAN LOWER (NORTH),53.355954,-6.278378,33,36,OPEN
35,15:27:02,ST. STEPHEN'S GREEN EAST,53.337824,-6.256035,5,40,OPEN
3,15:25:41,HEUSTON STATION (CENTRAL),53.346603,-6.296924,37,40,OPEN
2,15:27:36,TOWNSEND STREET,53.345922,-6.254614,18,20,OPEN
2,15:20:23,GEORGES LANE,53.35023,-6.279696,38,40,OPEN
10,15:28:02,ECCLES STREET,53.359246,-6.269779,10,20,OPEN
13,15:26:43,PORTOBELLO HARBOUR,53.330362,-6.265163,17,30,OPEN
0,15:25:09,MATER HOSPITAL,53.359967,-6.264828,40,40,OPEN
20,15:25:38,BLESSINGTON STREET,53.356769,-6.26814,0,20,OPEN
0,15:26:52,JAMES STREET,53.343456,-6.287409,40,40,OPEN
17,15:21:52,MERRION SQUARE WEST,53.339764,-6.251988,3,20,OPEN
26,15:28:13,CONVENTION CENTRE,53.34744,-6.238523,14,40,OPEN
1,15:19:08,HARDWICKE STREET,53.355473,-6.264423,15,16,OPEN
3,15:23:00,PARKGATE STREET,53.347972,-6.291804,35,38,OPEN
10,15:27:11,SMITHFIELD,53.347692,-6.278214,20,30,OPEN
14,15:23:25,DAME STREET,53.344007,-6.266802,2,16,OPEN
8,15:27:55,HEUSTON BRIDGE (SOUTH),53.347106,-6.292041,17,25,OPEN
2,15:27:03,CATHAL BRUGHA STREET,53.352149,-6.260533,18,20,OPEN
7,15:27:43,SANDWITH STREET,53.345203,-6.247163,33,40,OPEN
19,15:23:55,ROTHE ABBEY,53.338776,-6.30395,16,35,OPEN
20,15:22:02,PRINCES STREET / O'CONNELL STREET,53.349013,-6.260311,3,23,OPEN
9,15:28:29,UPPER SHERRARD STREET,53.358437,-6.260641,21,30,OPEN
24,15:21:54,FITZWILLIAM SQUARE EAST,53.335211,-6.2509,16,40,OPEN
23,15:22:51,GRATTAN STREET,53.339629,-6.243778,0,23,OPEN
12,15:28:16,ST JAMES HOSPITAL (LUAS),53.341359,-6.292951,28,40,OPEN
8,15:20:52,HARCOURT TERRACE,53.332763,-6.257942,12,20,OPEN
4,15:26:07,BOLTON STREET,53.351182,-6.269859,16,20,OPEN
6,15:18:38,STRAND STREET GREAT,53.347082,-6.264192,29,35,OPEN
20,15:25:42,JERVIS STREET,53.3483,-6.266651,1,21,OPEN
7,15:26:22,ORMOND QUAY UPPER,53.346057,-6.268001,22,29,OPEN
26,15:27:27,BARROW STREET,53.341655,-6.236198,14,40,OPEN
17,15:20:11,GRANGEGORMAN LOWER (SOUTH),53.354663,-6.278681,23,40,OPEN
9,15:25:53,MOUNTJOY SQUARE WEST,53.356299,-6.258586,21,30,OPEN
8,15:27:57,WILTON TERRACE,53.332383,-6.252717,12,20,OPEN
3,15:23:50,EMMET ROAD,53.340714,-6.308191,37,40,OPEN
2,15:25:03,HEUSTON BRIDGE (NORTH),53.347802,-6.292432,38,40,OPEN
27,15:25:23,LEINSTER STREET SOUTH,53.34218,-6.254485,2,30,OPEN
6,15:26:07,BLACKHALL PLACE,53.3488,-6.281637,24,30,OPEN
