available_bikes,last_update,name,latitude,longitude,available_bike_stands,bike_stands,status
0,14:49:48,HARDWICKE STREET,53.355473,-6.264423,16,16,OPEN
2,14:50:48,PARKGATE STREET,53.347972,-6.291804,36,38,OPEN
12,14:49:51,SMITHFIELD,53.347692,-6.278214,18,30,OPEN
11,14:49:22,DAME STREET,53.344007,-6.266802,5,16,OPEN
8,14:49:40,HEUSTON BRIDGE (SOUTH),53.347106,-6.292041,17,25,OPEN
9,14:51:30,CATHAL BRUGHA STREET,53.352149,-6.260533,11,20,OPEN
13,14:47:06,SANDWITH STREET,53.345203,-6.247163,27,40,OPEN
1,14:44:43,ROTHE ABBEY,53.338776,-6.30395,34,35,OPEN
15,14:50:39,PRINCES STREET / O'CONNELL STREET,53.349013,-6.260311,8,23,OPEN
0,14:42:09,UPPER SHERRARD STREET,53.358437,-6.260641,30,30,OPEN
16,14:42:50,FITZWILLIAM SQUARE EAST,53.335211,-6.2509,24,40,OPEN
18,14:47:44,GRATTAN STREET,53.339629,-6.243778,5,23,OPEN
19,14:42:09,ST JAMES HOSPITAL (LUAS),53.341359,-6.292951,21,40,OPEN
9,14:51:33,HARCOURT TERRACE,53.332763,-6.257942,11,20,OPEN
3,14:49:40,BOLTON STREET,53.351182,-6.269859,16,20,OPEN
8,14:51:25,STRAND STREET GREAT,53.347082,-6.264192,27,35,OPEN
7,14:48:53,JERVIS STREET,53.3483,-6.266651,14,21,OPEN
12,14:51:22,ORMOND QUAY UPPER,53.346057,-6.268001,17,29,OPEN
35,14:50:05,BARROW STREET,53.341655,-6.236198,5,40,OPEN
2,14:43:32,GRANGEGORMAN LOWER (SOUTH),53.354663,-6.278681,38,40,OPEN
17,14:50:41,MOUNTJOY SQUARE WEST,53.356299,-6.258586,13,30,OPEN
3,14:50:56,WILTON TERRACE,53.332383,-6.252717,17,20,OPEN
5,14:51:28,EMMET ROAD,53.340714,-6.308191,35,40,OPEN
4,14:46:28,HEUSTON BRIDGE (NORTH),53.347802,-6.292432,36,40,OPEN
28,14:50:20,LEINSTER STREET SOUTH,53.34218,-6.254485,0,30,OPEN
0,14:41:49,BLACKHALL PLACE,53.3488,-6.281637,30,30,OPEN
