available_bikes,last_update,name,latitude,longitude,available_bike_stands,bike_stands,status
9,15:38:19,ST. STEPHEN'S GREEN SOUTH,53.337494,-6.26199,21,30,OPEN
2,15:37:03,DENMARK STREET GREAT,53.35561,-6.261397,18,20,OPEN
4,15:41:14,ROYAL HOSPITAL,53.343897,-6.29706,36,40,OPEN
1,15:35:33,HEUSTON STATION (CAR PARK),53.346985,-6.297804,39,40,OPEN
1,15:35:13,GRANGEGORMAN LOWER (NORTH),53.355954,-6.278378,35,36,OPEN
31,15:42:12,ST. STEPHEN'S GREEN EAST,53.337824,-6.256035,6,40,OPEN
2,15:41:14,HEUSTON STATION (CENTRAL),53.346603,-6.296924,38,40,OPEN
9,15:41:35,TOWNSEND STREET,53.345922,-6.254614,11,20,OPEN
2,15:39:09,GEORGES LANE,53.35023,-6.279696,38,40,OPEN
12,15:36:25,ECCLES STREET,53.359246,-6.269779,8,20,OPEN
9,15:42:35,PORTOBELLO HARBOUR,53.330362,-6.265163,21,30,OPEN
7,15:37:53,MATER HOSPITAL,53.359967,-6.264828,33,40,OPEN
18,15:42:06,BLESSINGTON STREET,53.356769,-6.26814,2,20,OPEN
5,15:36:34,JAMES STREET,53.343456,-6.287409,35,40,OPEN
18,15:39:49,MERRION SQUARE WEST,53.339764,-6.251988,2,20,OPEN
36,15:41:48,CONVENTION CENTRE,53.34744,-6.238523,4,40,OPEN
0,15:40:33,HARDWICKE STREET,53.355473,-6.264423,16,16,OPEN
2,15:33:01,PARKGATE STREET,53.347972,-6.291804,36,38,OPEN
10,15:42:24,SMITHFIELD,53.347692,-6.278214,20,30,OPEN
11,15:34:21,DAME STREET,53.344007,-6.266802,5,16,OPEN
16,15:34:40,HEUSTON BRIDGE (SOUTH),53.347106,-6.292041,9,25,OPEN
18,15:42:32,CATHAL BRUGHA STREET,53.352149,-6.260533,2,20,OPEN
14,15:35:24,SANDWITH STREET,53.345203,-6.247163,26,40,OPEN
1,15:35:27,ROTHE ABBEY,53.338776,-6.30395,34,35,OPEN
23,15:36:45,PRINCES STREET / O'CONNELL STREET,53.349013,-6.260311,0,23,OPEN
12,15:37:57,UPPER SHERRARD STREET,53.358437,-6.260641,18,30,OPEN
34,15:39:42,FITZWILLIAM SQUARE EAST,53.335211,-6.2509,6,40,OPEN
18,15:40:52,GRATTAN STREET,53.339629,-6.243778,5,23,OPEN
18,15:36:18,ST JAMES HOSPITAL (LUAS),53.341359,-6.292951,22,40,OPEN
8,15:37:40,HARCOURT TERRACE,53.332763,-6.257942,12,20,OPEN
0,15:33:32,BOLTON STREET,53.351182,-6.269859,20,20,OPEN
3,15:38:30,STRAND STREET GREAT,53.347082,-6.264192,32,35,OPEN
6,15:38:54,JERVIS STREET,53.3483,-6.266651,15,21,OPEN
16,15:33:31,ORMOND QUAY UPPER,53.346057,-6.268001,13,29,OPEN
37,15:39:12,BARROW STREET,53.341655,-6.236198,3,40,OPEN
4,15:34:20,GRANGEGORMAN LOWER (SOUTH),53.354663,-6.278681,36,40,OPEN
16,15:34:04,MOUNTJOY SQUARE WEST,53.356299,-6.258586,14,30,OPEN
2,15:42:29,WILTON TERRACE,53.332383,-6.252717,18,20,OPEN
6,15:40:26,EMMET ROAD,53.340714,-6.308191,34,40,OPEN
0,15:34:13,HEUSTON BRIDGE (NORTH),53.347802,-6.292432,40,40,OPEN
25,15:40:26,LEINSTER STREET SOUTH,53.34218,-6.254485,5,30,OPEN
1,15:34:07,BLACKHALL PLACE,53.3488,-6.281637,29,30,OPEN
