available_bikes,last_update,name,latitude,longitude,available_bike_stands,bike_stands,status
8,15:38:13,SMITHFIELD NORTH,53.349562,-6.278198,22,30,OPEN
14,15:36:33,PARNELL SQUARE NORTH,53.353462,-6.265305,6,20,OPEN
23,15:34:39,CLONMEL STREET,53.336021,-6.26298,10,33,OPEN
27,15:40:22,MOUNT STREET LOWER,53.33796,-6.24153,13,40,OPEN
1,15:38:22,CHRISTCHURCH PLACE,53.343368,-6.27012,19,20,OPEN
6,15:35:30,GRANTHAM STREET,53.334123,-6.265436,24,30,OPEN
2,15:40:34,PEARSE STREET,53.344304,-6.250427,28,30,OPEN
14,15:35:54,YORK STREET EAST,53.338755,-6.262003,18,32,OPEN
34,15:33:35,EXCISE WALK,53.347777,-6.244239,6,40,OPEN
19,15:34:24,FITZWILLIAM SQUARE WEST,53.336074,-6.252825,11,30,OPEN
8,15:39:23,PORTOBELLO ROAD,53.330091,-6.268044,22,30,OPEN
16,15:32:45,ST. JAMES HOSPITAL (CENTRAL),53.339983,-6.295594,24,40,OPEN
9,15:41:47,PARNELL STREET,53.350929,-6.265125,11,20,OPEN
23,15:35:13,FREDERICK STREET SOUTH,53.341515,-6.256853,1,30,OPEN
9,15:40:31,FOWNES STREET UPPER,53.344603,-6.263371,19,30,OPEN
12,15:32:55,CLARENDON ROW,53.340927,-6.262501,19,31,OPEN
4,15:42:05,CUSTOM HOUSE,53.348279,-6.254662,26,30,OPEN
32,15:42:33,HANOVER QUAY,53.344115,-6.237153,8,40,OPEN
10,15:42:24,OLIVER BOND STREET,53.343893,-6.280531,20,30,OPEN
1,15:40:03,COLLINS BARRACKS MUSEUM,53.347477,-6.28525,37,38,OPEN
2,15:34:19,BROOKFIELD ROAD,53.339005,-6.300217,28,30,OPEN
0,12:00:49,BENSON STREET,53.344153,-6.233451,0,40,CLOSED
29,15:34:04,EARLSFORT TERRACE,53.334019,-6.258371,1,30,OPEN
1,15:41:42,GOLDEN LANE,53.340803,-6.267732,19,20,OPEN
4,15:40:53,DEVERELL PLACE,53.351464,-6.255265,26,30,OPEN
9,15:39:12,JOHN STREET WEST,53.343105,-6.277167,22,31,OPEN
20,15:39:59,FENIAN STREET,53.341428,-6.24672,15,35,OPEN
29,15:39:32,SOUTH DOCK ROAD,53.341833,-6.231291,1,30,OPEN
25,15:33:58,CITY QUAY,53.346637,-6.246154,5,30,OPEN
13,15:34:12,EXCHEQUER STREET,53.343034,-6.263578,11,24,OPEN
32,15:40:42,THE POINT,53.346867,-6.230852,8,40,OPEN
24,15:39:23,HATCH STREET,53.33403,-6.260714,12,36,OPEN
14,15:41:05,LIME STREET,53.346026,-6.243576,26,40,OPEN
20,15:41:56,CHARLEMONT PLACE,53.330662,-6.260177,20,40,OPEN
1,15:42:11,KILMAINHAM GAOL,53.342113,-6.310015,39,40,OPEN
14,15:40:09,HARDWICKE PLACE,53.357043,-6.263232,11,25,OPEN
4,15:36:38,WOLFE TONE STREET,53.348875,-6.267459,25,29,OPEN
3,15:41:49,FRANCIS STREET,53.342081,-6.275233,27,30,OPEN
4,15:36:26,GREEK STREET,53.346874,-6.272976,16,20,OPEN
39,15:42:26,GUILD STREET,53.347932,-6.240928,1,40,OPEN
22,15:40:59,HERBERT PLACE,53.334432,-6.245575,8,30,OPEN
18,15:34:15,HIGH STREET,53.343565,-6.275071,11,29,OPEN
7,15:36:11,NORTH CIRCULAR ROAD,53.359624,-6.260348,23,30,OPEN
14,15:42:25,WESTERN WAY,53.354929,-6.269425,26,40,OPEN
16,15:41:26,TALBOT STREET,53.350974,-6.25294,24,40,OPEN
33,15:41:44,NEWMAN HOUSE,53.337132,-6.26059,6,40,OPEN
25,15:38:29,SIR PATRICK DUN'S,53.339218,-6.240642,15,40,OPEN
0,15:33:25,NEW CENTRAL BANK,53.347122,-6.234749,40,40,OPEN
0,15:35:31,GRANGEGORMAN LOWER (CENTRAL),53.355173,-6.278424,40,40,OPEN
4,15:42:36,KING STREET NORTH,53.350291,-6.273507,26,30,OPEN
34,15:33:46,HERBERT STREET,53.335742,-6.24551,6,40,OPEN
0,15:40:33,CUSTOM HOUSE QUAY,53.347884,-6.248048,30,30,OPEN
8,15:42:14,MOLESWORTH STREET,53.341288,-6.258117,12,20,OPEN
6,15:42:30,GEORGES QUAY,53.347508,-6.252192,14,20,OPEN
2,15:41:05,KILMAINHAM LANE,53.341805,-6.305085,28,30,OPEN
1,15:42:05,MOUNT BROWN,53.341645,-6.29719,21,22,OPEN
3,15:35:12,MARKET STREET SOUTH,53.342296,-6.287661,35,38,OPEN
11,15:41:46,KEVIN STREET,53.337757,-6.267699,29,40,OPEN
9,15:35:12,ECCLES STREET EAST,53.358115,-6.265601,18,27,OPEN
38,15:37:20,GRAND CANAL DOCK,53.342638,-6.238695,2,40,OPEN
27,15:32:44,MERRION SQUARE EAST,53.339434,-6.246548,3,30,OPEN
1,15:34:13,YORK STREET WEST,53.339334,-6.264699,39,40,OPEN
